Date,GLD,SLV,PPLT,PALL,9081,DBB,ALUM
2012-02-13,2.0,5.0,3.0,1.0,7.0,4.0,6.0
2012-02-14,2.0,5.0,3.0,1.0,7.0,4.0,6.0
2012-02-15,2.0,5.0,3.0,1.0,7.0,4.0,6.0
2012-02-16,3.0,5.0,2.0,1.0,7.0,4.0,6.0
2012-02-17,3.0,5.0,2.0,1.0,7.0,4.0,6.0
2012-02-21,3.0,5.0,2.0,1.0,7.0,4.0,6.0
2012-02-22,3.0,4.0,1.5,1.5,7.0,5.0,6.0
2012-02-23,3.0,4.0,1.0,2.0,7.0,6.0,5.0
2012-02-24,3.0,4.0,1.0,2.0,7.0,6.0,5.0
2012-02-27,2.5,4.5,1.0,2.5,7.0,4.5,6.0
2012-02-28,2.0,4.5,1.0,3.0,7.0,4.5,6.0
2012-02-29,2.0,3.0,1.0,4.0,7.0,5.0,6.0
2012-03-01,2.0,3.0,1.0,4.0,7.0,5.0,6.0
2012-03-02,2.0,3.0,1.0,4.0,7.0,5.0,6.0
2012-03-05,2.0,3.0,1.0,4.0,7.0,5.0,6.0
2012-03-06,2.0,3.0,1.0,4.0,7.0,5.0,6.0
2012-03-07,2.0,3.0,1.0,4.0,7.0,6.0,5.0
2012-03-08,2.0,3.0,1.0,4.0,6.0,5.0,7.0
2012-03-09,2.0,3.0,1.0,4.0,7.0,5.0,6.0
2012-03-12,2.0,3.0,1.0,4.5,4.5,6.0,7.0
2012-03-13,1.5,3.0,1.5,4.5,4.5,6.0,7.0
2012-03-14,1.5,3.0,1.5,4.5,4.5,6.0,7.0
2012-03-15,1.0,3.5,2.0,3.5,5.0,6.0,7.0
2012-03-16,1.0,3.5,2.0,3.5,5.0,6.0,7.0
2012-03-19,1.0,3.5,2.0,3.5,5.0,6.0,7.0
2012-03-20,1.0,7.0,2.0,3.0,4.0,5.5,5.5
2012-03-21,1.0,7.0,2.0,3.0,4.0,5.5,5.5
2012-03-22,1.0,7.0,2.0,3.0,4.0,5.5,5.5
2012-03-23,1.0,7.0,2.0,3.0,4.0,5.5,5.5
2012-03-26,1.0,7.0,2.0,3.0,4.0,5.5,5.5
2012-03-27,1.0,3.5,2.0,3.5,5.0,7.0,6.0
2012-03-28,1.0,3.5,2.0,3.5,5.0,7.0,6.0
2012-03-29,1.0,3.5,2.0,3.5,5.0,7.0,6.0
2012-03-30,1.0,3.5,2.0,3.5,5.0,7.0,6.0
2012-04-02,1.0,3.5,2.0,3.5,5.0,7.0,6.0
2012-04-03,1.0,3.5,2.0,3.5,5.0,7.0,6.0
2012-04-04,1.0,3.5,2.0,3.5,5.0,7.0,6.0
2012-04-05,1.0,3.5,2.0,3.5,5.0,7.0,6.0
2012-04-09,1.0,3.5,2.0,3.5,5.0,7.0,6.0
2012-04-10,1.0,3.5,2.0,3.5,5.0,7.0,6.0
2012-04-11,1.0,4.5,2.0,4.5,7.0,6.0,3.0
2012-04-12,1.0,4.5,2.0,4.5,7.0,6.0,3.0
2012-04-13,1.0,5.0,2.0,4.0,7.0,6.0,3.0
2012-04-16,1.0,5.0,2.0,5.0,7.0,5.0,3.0
2012-04-17,1.0,5.5,2.0,3.5,7.0,5.5,3.5
2012-04-18,1.0,5.5,2.0,3.5,7.0,5.5,3.5
2012-04-19,1.0,3.0,2.0,4.5,7.0,6.0,4.5
2012-04-20,1.0,3.0,2.0,4.5,7.0,6.0,4.5
2012-04-23,1.0,3.0,2.0,4.5,7.0,6.0,4.5
2012-04-24,1.5,3.0,1.5,4.5,7.0,6.0,4.5
2012-04-25,1.5,3.0,1.5,4.5,7.0,6.0,4.5
2012-04-26,1.5,3.0,1.5,4.5,7.0,6.0,4.5
2012-04-27,2.0,3.0,1.0,4.5,7.0,6.0,4.5
2012-04-30,2.0,5.5,1.0,3.5,7.0,5.5,3.5
2012-05-01,2.0,5.5,1.0,3.5,7.0,5.5,3.5
2012-05-02,2.0,5.5,1.0,3.5,7.0,5.5,3.5
2012-05-03,2.0,5.5,1.0,3.5,7.0,5.5,3.5
2012-05-04,2.0,5.5,1.0,3.5,7.0,5.5,3.5
2012-05-07,2.0,5.5,1.0,3.5,7.0,5.5,3.5
2012-05-08,2.0,5.5,1.0,3.5,7.0,5.5,3.5
2012-05-09,2.0,5.5,1.0,3.5,7.0,5.5,3.5
2012-05-10,2.0,5.5,1.0,3.5,7.0,5.5,3.5
2012-05-11,2.0,5.5,1.0,3.5,7.0,5.5,3.5
2012-05-14,2.0,5.5,1.0,3.5,7.0,5.5,3.5
2012-05-15,2.0,5.5,1.0,3.5,7.0,5.5,3.5
2012-05-16,2.0,5.5,1.0,3.5,7.0,5.5,3.5
2012-05-17,2.0,5.0,1.0,3.0,7.0,5.0,5.0
2012-05-18,2.0,5.0,1.0,3.0,7.0,5.0,5.0
2012-05-21,2.0,6.0,1.0,3.0,7.0,4.5,4.5
2012-05-22,2.0,6.0,1.0,3.0,7.0,4.5,4.5
2012-05-23,2.0,5.0,1.0,3.0,7.0,5.0,5.0
